name,pronounciation
วรนิษฐา,วอ-ระ-นิด-ถา
วรรณธัช,วัน-นะ-ทัด
วรวลัญช์,วอ-ระ-วะ-ลัน
วัชสัณห์,วัด-ชะ-สัน
วิชญ์,วิด
ศราวิน,สะ-รา-วิน
ศวรรยา,สะ-หวัน-ยา
ศาสวัต,สาด-สะ-วัด
ศิรชัช,สิ-ระ-ชัด
ศิรดา,สิ-ระ-ดา
ศิวกร,สิ-วะ-กอน
ศิศิรา,สิ-สิ-รา
โศศิษฐา,โส-สิด-ถา
สถิตคุณ,สะ-ถิด-คุณ
สรณ์สิริ,สอน-สิ-ริ
สรวรรณ,สอ-ระ-วัน
สรัลชนา,สะ-รัน-ชะ-นา
สริตา,สะ-ริ-ตา
สวิตต์,สะ-วิด
สังสิต,สัง-สิด
สัณฐิติ,สัน-ถิ-ติ
สันต์ฤทัย,สัน-รึ-ไท
หทัยทัต,หะ-ไท-ทัด
หรรษกานต์,หัด-สะ-กาน
หาญชัย,หาน-ไช
หิรัญ,หิ-รัน
อคิราห์,อะ-คิ-รา
อชิระ,อะ-ชิ-ระ
อดิวรรณ,อะ-ดิ-วัน
อดิศร,อะ-ดิ-สอน
อติรุจ,อะ-ติ-รุด
อธิติยา,อะ-ทิ-ติ-ยา
อนวัช,อะ-นะ-วัด
ชื่อมงคล,คำอ่าน
กชพรรณ,กด-ชะ-พัน
กมลพร,กะ-มน-พอน
กรชวัล,กอน-ชะ-วัน
กรณิศ,กอ-ระ-นิด
กรองขวัญ,กรอง-ขวัน
กัญญาวีร์,กัน-ยา-วี
การัณยภาส,กา-รัน-ยะ-พาด
กุลปริยา,กุน-ปริ-ยา
ขวัญชัย,ขวัน-ไช
เขมิกา,เข-มิ-กา
คณิศร,คะ-นิด-สอน
คุณากร,คุ-นา-กอน
จรณบูรณ์,จะ-ระ-นะ-บูน
จารีย์,จา-รี
จีรภา,จี-ระ-พา
จุมพล,จุม-พน
ชญาภา,ชะ-ยา-พา
ชไมพร,ชะ-ไม-พอน
ญาณศรณ์,ยา-นะ-สอน
ญาณากร,ยา-นา-กอน
ฐากูร,ถา-กูน
ณัฏฐณิชา,นัด-ถะ-นิ-ชา
ณิชชยา,นิด-ชะ-ยา
บวรภัค,บะ-วอน-พัก
บวรวิชญ์,บะ-วอน-วิด
บุญญิสา,บุน-ยิ-สา
บุรัสกร,บุ-รัด-สะ-กอน
บุลภรณ์,บุ-ละ-พอน
เบญญาภา,เบน-ยา-พา
ปฏิภาณ,ปะ-ติ-พาน
ปณชัย,ปะ-นะ-ไช
ปภาวิชญ์,ปะ-พา-วิด
ประภาสิริ,ประ-พา-สิ-หริ
ประวัณ,ประ-วัน
ประไณย,ประ-ไน
ปริชญ์,ปริด
ปริยกร,ปริ-ยะ-กอน
วีณวัช,ปะ-วีน-วัด
ปองภพ,ปอง-พบ
ปารเมศ,ปา-ระ-เมด
ปุณยภา,ปุน-ยะ-พา
ปุษาบุล,ปุ-สา-บุน
ไปรยา,ไปร-ยา
พงศ์ภรณ์,พง-พอน
พรลภัส,พอน-ละ-พัด
พรหมพิริยะ,พรม-พิ-ริ-ยะ
พริสร,พะ-ริด-สอน
พสิษฐ์,พะ-สิด
พัชรางค์,พัด-ชะ-ราง
พาณิภัค,พา-นิ-พัก
พิชญาภา,พิด-ชะ-ยา-พา
พิชามญชุ์,พิ-ชา-มน
พิพรรษพร,พิ-พัด-พอน
