name,gender,ipa,romanize1,romanize2,romanize3
คมสันติ์,m,Kom1 san5,khomsan,komsan,khomsun
คมสันต์,m,Kom1 san5,khomsan,komsan,khomsun
คมเดช,m,Kom1 dEt2,khomdet,komdet,khomdech
คมเพชร,m,Kom1 Pet4,khomphet,kompetch,khompetch
ครรชิต,m,Kan1 Cit4,khanchit,kanchit,
ครรชิตพล,m,Kan1 Cit4 Pon1,khanchitphon,kanchitpon,khanchitpol
คริษฐา,f,Ka-1 rit4 TA-5,kharittha,karitta,karittha
คอรีเยาะ,f,KX-1 rI-1 jx?4,khoriyo,khoriyoh,koriyoh
คอลีเยาะ,f,KX-1 lI-1 jx?4,kholiyo,kholiyoh,koliyoh
คะนอง,m,Ka-1 nXN1,khanong,kanong,
คัมภีร์,m,Kam1 PI-1,khamphi,khamphee,kamphee
คามิน,m,KA-1 min1,khamin,kamin,camin
คาวี,m,KA-1 wI-1,khawi,kavee,khavee
คำนวณ,m,Kam1 nWn1,khamnuan,kamnuan,kumnuan
คำนาง,f,Kam1 nAN1,khamnang,kamnang,
คำพล,m,Kam1 Pon1,khamphon,khampol,kampol
คำภีร์,m,Kam1 PI-1,khamphi,khamphee,kamphee
คำรณ,m,Kam1 ron1,khamron,kamron,kumron
คำสิงห์,m,Kam1 siN5,khamsing,khamsingh,kamsing
คำแปง,f,Kam1 pYN1,khampaeng,kampaeng,
คุณปิยพัทธ์,m,Kun1 pi-2 ja-1 Pat4,khunpiyaphat,,
คุณากร,m,Ku-4 nA-1 kXn1,khunakon,khunakorn,kunakorn
คุณานนต์,m,Ku-4 nA-1 non1,khunanon,kunanon,
คุณานนท์,m,Ku-4 nA-1 non1,khunanon,kunanon,kunanont
คุณาวุฒิ,m,Ku-4 nA-1 wut4,khunawut,kunawut,
คเชนทร์,m,Ka-1 CEn1,khachen,khashane,kashane
คเณศ,m,Ka-1 nEt3,khanet,khanate,kanate
งามตา,f,NAm1 tA-1,ngamta,,
จงจิตต์,f,coN1 cit2,chongchit,jongjit,jongchit
จตุพงศ์,m,ca-2 tu-2 PoN1,chatuphong,jatupong,jatuphong
จตุภัทร,m,ca-2 tu-2 Pat4,chatuphat,jatupat,jatuphat
จตุรงค์,m,ca-2 tu-2 roN1,chaturong,jaturong,
จตุรภัทร,m,ca-2 tu-2 Pat4,chatuphat,jatupat,jatuphat
จตุรวิทย์,m,ca-2 tu-2 ra-1 wit4,chaturawit,jaturawit,
จรรยา,f,can1 jA-1,chanya,janya,junya
จรรยารัตน์,f,can1 jA-1 rat4,chanyarat,janyarat,junyarat
จรวยพร,f,ca-1 rWj1 PXn1,charuaiphon,jaruayporn,jaruayphorn
จรัญ,m,ca-1 ran1,charan,charun,jaran
จรัล,m,ca-1 ran1,charan,charun,jaran
จรัลรัตน์,f,ca-1 ran1 rat4,charanrat,charunrat,jaranrat
จรัสพงษ์,m,ca-1 rat2 PoN1,charatphong,charaspong,charasphong
จรัสพร,f,ca-1 rat2 PXn1,charatphon,charasporn,charasphorn
จริญญา,f,ca-1 rin1 jA-1,charinya,jarinya,
จริญา,f,ca-1 ri-1 jA-1,chariya,jariya,
จรีภรณ์,f,ca-1 ri-1 PXn1,chariphon,jareeporn,jareephorn
จรุง,m,ca-1 ruN1,charung,jarung,
จรูญ,m,ca-1 rUn1,charun,jaroon,charoon
จรูญศรี,f,ca-1 rUn1 sI-5,charunsi,jaroonsri,charoonsri
จรูญศักดิ์,m,ca-1 rUn1 sak2,charunsak,jaroonsak,charoonsak
