name,gender,ipa,romanize1,romanize2,romanize3
ธันยบูรณ์,m,Tan1 ja-1 bUn1,thanyabun,thanyaboon,tanyaboon
ธันยพัต,f,Tan1 ja-1 Pat4,thanyaphat,thanyapat,tanyapat
ธันยมัย,f,Tan1 ja-1 maj1,thanyamai,tanyamai,thunyamai
ธันยรัศมิ์,f,Tan1 ja-1 rat4,thanyarat,tanyarat,thunyarat
ธันยาภรณ์,f,Tan1 jA-1 PXn1,thanyaphon,thunyaporn,tanyaporn
ธันยาภัทร์,f,Tan1 jA-1 Pat4,thanyaphat,tanyapat,thunyaphat
ธันย์ชนก,f,Tan1 Ca-1 nok4,thanchanok,tanchanok,thunchanok
ธันย์นิชา,f,Tan1 ni-4 CA-1,thannicha,tannicha,thunnicha
ธันย์สิตา,f,Tan1 si-1 tA-1,thansita,tansita,thunsita
ธันวา,m,Tan1 wA-1,thanwa,tanwa,thunwa
ธาตรี,m,TA-1 trI-1,thatri,tatri,thatree
ธานิน,m,TA-1 nin1,thanin,tanin,
ธานินท์,m,TA-1 nin1,thanin,tanin,
ธารวิมล,f,TAn1 wi-4 mon1,thanwimon,tarnwimon,tarnwimol
ธาราทิพย์,f,TA-1 rA-1 Tip4,tharathip,taratip,tharatip
ธารารัตน์,f,TA-1 rA-1 rat4,thararat,tararat,tararad
ธาริณี,f,TA-1 ri-4 nI-1,tharini,tarinee,tharinee
ธาริดา,f,TA-1 ri-4 dA-1,tharida,tarida,
ธารินี,f,TA-1 ri-4 nI-1,tharini,tarinee,tharinee
ธารีรัตน์,f,TA-1 rI-1 rat4,tharirat,tareerat,tareerut
ธาวิน,m,TA-1 win1,thawin,tawin,
ธำรงค์,m,Tam1 roN1,thamrong,thumrong,tumrong
ธำรงศักดิ์,m,Tam1 roN1 sak2,thamrongsak,thumrongsak,tumrongsak
ธิญาดา,f,Ti-4 jA-1 dA-1,thiyada,tiyada,
ธิดาภรณ์,f,Ti-4 dA-1 PXn1,thidaphon,tidaporn,thidaporn
ธิดารัตน์,f,Ti-4 dA-1 rat4,thidarat,tidarat,
ธิดาวัลย์,f,Ti-4 dA-1 wan1,thidawan,tidawan,tidawal
ธิติกาญจน์,f,Ti-4 ti-1 kAn1,thitikan,titikarn,thitikarn
ธิติพงศ์,m,Ti-4 ti-1 PoN1,thitiphong,thitipong,titipong
ธิติยา,f,Ti-4 ti-1 jA-1,thitiya,titiya,
ธิติวัฒน์,m,Ti-4 ti-1 wat4,thitiwat,titiwat,
ธิติสุดา,f,Ti-4 ti-1 su-1 dA-1,thitisuda,titisuda,
ธิรดา,f,Ti-4 ra-4 dA-1,thirada,tirada,
ธิราภรณ์,f,Ti-4 rA-1 PXn1,thiraphon,tiraporn,thiraporn
ธีทัต,m,TI-1 Tat4,thithat,titat,thitat
ธีรชาติ,m,TI-1 ra-1 CAt3,thirachat,teerachat,teerachart
ธีรดนย์,m,TI-1 ra-1 don1,thiradon,teeradon,tiradon
ธีรนัย,m,TI-1 ra-1 naj1,thiranai,teeranai,tiranai
ธีรพงศ์,m,TI-1 ra-1 PoN1,thiraphong,teerapong,thirapong
ธีรพงษ์,m,TI-1 ra-1 PoN1,thiraphong,teerapong,thirapong
ธีรพจน์,m,TI-1 ra-1 Pot4,thiraphot,theeraphoj,thiraphoj
ธีรพัฒน์,m,TI-1 ra-1 Pat4,thiraphat,teerapat,theerapat
ธีรพันธุ์,m,TI-1 ra-1 Pan1,thiraphan,teerapan,thirapan
ธีรพันธ์,m,TI-1 ra-1 Pan1,thiraphan,teerapan,thirapan
ธีรภพ,m,TI-1 ra-1 Pop4,thiraphop,thirapob,teeraphob
ธีรภัทร์,m,TI-1 ra-1 Pat4,thiraphat,teerapat,theeraphat
ธีรยุทธ,m,TI-1 ra-1 jut4,thirayut,teerayut,theerayut
ธีรยุทธ์,m,TI-1 ra-1 jut4,thirayut,teerayut,theerayut
ธีรวรรณ,f,TI-1 ra-1 wan1,thirawan,teerawan,theerawan
ธีรวัจน์,m,TI-1 ra-1 wat4,thirawat,teerawaj,theerawat
ธีรวัต,m,TI-1 ra-1 wat4,thirawat,teerawat,theerawat
ธีรวีร์,m,TI-1 ra-1 wI-1,thirawi,teerawee,theerawee
ธีรวุฒิ,m,TI-1 ra-1 wut4,thirawut,teerawut,theerawut
ธีรศักดิ์,m,TI-1 ra-1 sak2,thirasak,teerasak,theerasak
ธีระชัย,m,TI-1 ra-1 Caj1,thirachai,teerachai,theerachai
ธีระพงค์,m,TI-1 ra-1 PoN1,thiraphong,teerapong,theeraphong
ธีระพงศ์,m,TI-1 ra-1 PoN1,thiraphong,teerapong,theeraphong
ธีระพงษ์,m,TI-1 ra-1 PoN1,thiraphong,teerapong,theeraphong
ธีระพล,m,TI-1 ra-1 Pon1,thiraphon,teerapon,theerapol
ธีระพัฒน์,m,TI-1 ra-1 Pat4,thiraphat,teerapat,theeraphat
ธีระพันธ์,m,TI-1 ra-1 Pan1,thiraphan,teerapan,thirapan
ธีระภัทร,m,TI-1 ra-1 Pat4,thiraphat,teerapat,theeraphat
ธีระยุทธ,m,TI-1 ra-1 jut4,thirayut,teerayut,theerayut
ธีระยุทธ์,m,TI-1 ra-1 jut4,thirayut,teerayut,theerayut
ธีระวัฒน์,m,TI-1 ra-1 wat4,thirawat,teerawat,theerawat
ธีระวุฒิ,m,TI-1 ra-1 wut4,thirawut,teerawut,theerawut
ธีระศักดิ์,m,TI-1 ra-1 sak2,thirasak,teerasak,theerasak
ธีระเดช,m,TI-1 ra-1 det2,thiradet,thiradech,teeradech
ธีรัตม์,m,TI-1 rat4,thirat,teerat,theerat
ธีราพร,f,TI-1 rA-1 PXn1,thiraphon,teeraporn,theeraporn
ธีรารัตน์,f,TI-1 rA-1 rat4,thirarat,teerarat,theerarat
ธีริศรา,f,TI-1 ri-4 sa-1 rA-1,thirisara,teerisara,theerisara
ธีรเดช,m,TI-1 ra-1 det2,thiradet,thiradech,teeradech
ธีรโชติ,m,TI-1 ra-1 COt3,thirachot,teerachot,theerachot
ธีร์ธวัช,m,TI-1 Ta-1 wat4,thithawat,teetawach,theetawach
ธเนตร,m,Ta-4 nEt3,thanet,tanet,
ธเนศ,m,Ta-4 nEt3,thanet,tanet,tanes
ธเนศพล,m,Ta-4 nEt3 Pon1,thanetphon,tanetpon,tanetpol
ธเนศร์,m,Ta-4 nEt3,thanet,tanet,
นกแก้ว,f,nok4 kYw3,nokkaeo,nokkaew,
นคร,m,na-4 KXn1,nakhon,nakorn,
นครินทร์,m,na-4 Ka-4 rin1,nakharin,nakarin,
นงค์รัก,f,noN1 rak4,nongrak,nongruk,
นงค์ลักษณ์,f,noN1 lak4,nonglak,nongluck,nongluk
นงค์ลักษ์,f,noN1 lak4,nonglak,nongluck,nongluk
นงนภัส,f,noN1 na-1 Pat4,nongnaphat,nongnapas,nongnapat
นงนาถ,f,noN1 nAt3,nongnat,nongnart,
นงนารถ,f,noN1 nAt3,nongnat,nongnart,
นงรัก,f,noN1 rak4,nongrak,nongruk,
นงลักษณ์,f,noN1 lak4,nonglak,nongluck,nongluk
นที,m,na-4 TI-1,nathi,natee,nathee
นทีธร,m,na-4 TI-1 TXn1,nathithon,natheetorn,nateetorn
นนทชัย,m,non1 Ta-1 Caj1,nonthachai,nontachai,
นนทนันท์,m,non1 Ta-1 nan1,nonthanan,nontanan,
นนทพัทธ์,m,non1 Ta-1 Pat4,nonthaphat,nontapat,nontaphat
นนทลี,f,non1 Ta-1 lI-1,nonthali,nontalee,nonthalee
นนทวัฒน์,m,non1 Ta-1 wat4,nonthawat,nontawat,
นนทิชา,f,non1 Ti-4 CA-1,nonthicha,nonticha,
นนทิยา,f,non1 Ti-4 jA-1,nonthiya,nontiya,
นนท์,m,non1,non,,
นนท์ธวัช,m,non1 Ta-1 wat4,nonthawat,nontawat,
นพ,m,nop4,nop,nob,
นพกร,m,nop4 Pa-1 kXn1,nopphakon,nopphakorn,noppakorn
นพชัย,m,nop4 Pa-1 Caj1,nopphachai,noppachai,
นพดล,m,nop4 Pa-1 don1,nopphadon,noppadon,noppadol
นพพร,m,nop4 PXn1,nopphon,nopporn,
นพพล,m,nop4 Pon1,nopphon,noppon,noppol
นพมณี,f,nop4 ma-1 nI-1,nopmani,nopmanee,
นพมาศ,f,nop4 Pa-1 mAt3,nopphamat,noppamas,noppamat
นพมาส,f,nop4 Pa-1 mAt3,nopphamat,noppamas,noppamat
นพวรรณ์,f,nop4 Pa-1 wan1,nopphawan,noppawan,
นภชนก,f,nop4 Ca-1 nok4,nopchanok,,
นภสินธุ์,m,nop4 Pa-1 sin5,nopphasin,noppasin,
นภัค,f,na-4 Pak4,naphak,napak,
นภัสวรรณ,f,na-4 Pat4 sa-1 wan1,naphatsawan,napassawan,napatsawan
นภัสสร,f,na-4 Pat4 sXn5,naphatson,napassorn,napatsorn
นภารัตน์,f,na-4 PA-1 rat4,napharat,naparat,
นภาลัย,f,na-4 PA-1 laj1,naphalai,napalai,
นภาเพ็ญ,f,na-4 PA-1 Pen1,naphaphen,napapen,napaphen
นรชัย,m,nX-1 ra-1 Caj1,norachai,,
นรวิชญ์,m,nX-1 ra-1 wit4,norawit,norawitch,norawich
นรากรณ์,m,na-4 rA-1 kXn1,narakon,narakorn,
นราธร,m,na-4 rA-1 TXn1,narathon,naratorn,naraton
นรารัตน์,f,na-4 rA-1 rat4,nararat,,
นราวดี,f,na-4 rA-1 wa-1 dI-1,narawadi,narawadee,
นราวิชญ์,m,na-4 rA-1 wit4,narawit,narawich,narawitch
นราวุธ,m,na-4 rA-1 wut4,narawut,narawud,narawoot
นราศักดิ์,m,na-4 rA-1 sak2,narasak,,
นรินทร์ทิพย์,f,na-4 rin1 Tip4,narinthip,narintip,
นรินทิพย์,f,na-4 rin1 Tip4,narinthip,narintip,
นริศรา,f,na-4 ri-4 sa-1 rA-1,narisara,,
นริษา,f,na-4 ri-4 sA-5,narisa,,
นรเทพ,m,nX-1 ra-1 TEp3,norathep,noratep,
นฤชิต,m,na-4 rv-4 Cit4,naruechit,naruechid,
นฤดม,m,na-4 rv-4 dom1,naruedom,,
นฤดี,f,na-4 rv-4 dI-1,naruedi,naruedee,
นฤทธิ์,m,na-4 rit4,narit,narid,
นฤทัย,f,na-4 rv-4 Taj1,naruethai,naruetai,
นฤพนธ์,m,na-4 rv-4 Pon1,naruephon,naruepon,
นฤพร,f,na-4 rv-4 PXn1,naruephon,narueporn,naruephorn
นฤพล,m,na-4 rv-4 Pon1,naruephon,naruepon,naruepol
นฤมล,f,na-4 rv-4 mon1,naruemon,,
นฤมิตร,m,na-4 rv-4 mit4,naruemit,,
นฤเทพ,m,na-4 rv-4 TEp3,naruethep,naruetep,
นฤเบศ,m,na-4 rv-4 bEt2,naruebet,naruebes,
นฤเบศร์,m,na-4 rv-4 bEt2,naruebet,naruebes,
นลธวัช,m,non1 Ta-1 wat4,nonthawat,nontawat,nonthawach
นลพรรณ,f,non1 Pan1,nonphan,nonpan,
นลิตา,f,na-4 li-4 tA-1,nalita,,
นลิน,f,na-4 lin1,nalin,,
นลินนิภา,f,na-4 lin1 ni-4 PA-1,nalinnipha,nalinnipa,
นลินรัตน์,f,na-4 lin1 rat4,nalinrat,nalinrad,nalinrud
นวนจันทร์,f,nWn1 can1,nuanchan,nuanjan,
นวพล,m,na-4 wa-4 Pon1,nawaphon,nawapon,
นวภรณ์,f,na-4 wa-4 PXn1,nawaphon,nawaporn,nawaphorn
นวลตา,f,nWn1 tA-1,nuanta,,
นวลนภา,f,nWn1 na-4 PA-1,nuannapha,nuannapa,
นวลน้อย,f,nWn1 nXj4,nuannoi,nuannoy,
นวลปราง,f,nWn1 prAN1,nuanprang,nuanpang,
นวลพรรณ,f,nWn1 PAn1,nuanphan,nuanpan,
นวลลออ,f,nWn1 la-1 ?X-1,nuanlao,nuanlaor,
นวลละออ,f,nWn1 la-1 ?X-1,nuanlao,nuanlaor,
นวลละออง,f,nWn1 la-1 ?XN1,nuanlaong,,
นวลศรี,f,nWn1 sI-5,nuansri,nuansi,nuansee
นวลอนงค์,f,nWn1 ?a-1 noN1,nuananong,,
นักรบ,m,nak4 rop4,nakrop,nakrob,
นัจนันท์,f,nat4 ca-1 nan1,natchanan,natjanan,natjanun
นัฏฐา,f,nat4 TA-5,nattha,nuttha,
นัฐกร,m,nat4 Ta-1 kXn1,natthakon,natthakorn,nattakorn
นัฐกาญจน์,f,nat4 Ta-1 kAn1,natthakan,natthakarn,nattakarn
นัฐพงศ์,m,nat4 Ta-1 PoN1,natthaphong,nattaphong,nattapong
นัฐพงษ์,m,nat4 Ta-1 PoN1,natthaphong,nattaphong,nattapong
นัฐพล,m,nat4 Ta-1 Pon1,natthaphon,nattapon,nattapol
นัดดา,f,nat4 dA-1,natda,nadda,nudda
นัทที,m,nat4 TI-1,natthi,nattee,natthee
นัทธพงศ์,m,nat4 Ta-1 PoN1,natthaphong,nattapong,natthapong
นัทพล,m,nat4 Ta-1 Pon1,natthaphon,nattapon,natthapon
นัธทวัฒน์,m,nat4 Ta-1 wat4,natthawat,nattawat,nuttawat
นันตพร,f,nan1 ta-1 PXn1,nantaphon,nantaporn,nantaphorn
นันทกา,f,nan1 Ta-1 kA-1,nanthaka,nantaka,nantaga
นันทญา,f,nan1 Ta-1 jA-1,nanthaya,nantaya,nuntaya
นันทนา,f,nan1 Ta-1 nA-1,nanthana,nantana,nuntana
นันทนิตย์,f,nan1 Ta-1 nit4,nanthanit,nantanit,nuntanit
นันทพงศ์,m,nan1 Ta-1 PoN1,nanthaphong,nantapong,nuntapong
นันทพงษ์,m,nan1 Ta-1 PoN1,nanthaphong,nantapong,nuntapong
นันทพร,f,nan1 Ta-1 PXn1,nanthaphon,nantaporn,nuntaporn
นันทพล,m,nan1 Ta-1 Pon1,nanthaphon,nantapol,nuntapol
นันทภพ,m,nan1 Ta-1 Pop4,nanthaphop,nantapob,nuntapob
นันทภรณ์,f,nan1 Ta-1 PXn1,nanthaphon,nantaporn,nuntaporn
นันทวดี,f,nan1 Ta-1 wa-4 dI-1,nanthawadi,nanthawadee,nantawadee
นันทศักดิ์,m,nan1 Ta-1 sak2,nanthasak,nantasak,nuntasak
นันทิกา,f,nan1 Ti-4 kA-1,nanthika,nantika,nuntika
นันทิชา,f,nan1 Ti-4 CA-1,nanthicha,nanticha,nunthicha
นันทินี,f,nan1 Ti-4 nI-1,nanthini,nunthini,nunthinee
นันทิพร,f,nan1 Ti-4 PXn1,nanthiphon,nunthiporn,nanthiporn
นันทิพัฒน์,m,nan1 Ti-4 Pat4,nanthiphat,nunthipat,nanthipat
นันทิยา,f,nan1 Ti-4 jA-1,nanthiya,nunthiya,nuntiya
นันท์นภัส,f,nan1 na-1 Pat4,nannaphat,nannapas,nannapat
นันธิญา,f,nan1 Ti-4 jA-1,nanthiya,nunthiya,nuntiya
นันธิดา,f,nan1 Ti-4 dA-1,nanthida,nunthida,nuntida
นัยนา,f,naj1 ja-1 nA-1,naiyana,nayyana,
นัสรีน,f,nat4 sa-1 rIn1,nassarin,nassareen,natsareen
นาง,f,nAN1,nang,narng,
นาฏยา,f,nA-1 ta-1 jA-1,nataya,nartaya,
นาฏยา,f,nAt3 ta-1 jA-1,nattaya,narttaya,
นาฏอนงค์,f,nAt3 ?a-1 noN1,natanong,nartanong,
นาตญา,f,nA-1 ta-1 jA-1,nataya,nartaya,
นาตญา,f,nAt3 ta-1 jA-1,nattaya,narttaya,
นาตยา,f,nA-1 ta-1 jA-1,nataya,nartaya,
นาตยา,f,nAt3 ta-1 jA-1,nattaya,narttaya,
นาตาชา,f,nA-1 tA-1 CA-1,natacha,natasha,
นาถนภา,f,nAt3 na-4 PA-1,natnapha,nartnapha,natnapha
นาถลดา,f,nAt3 la-4 dA-1,natlada,nartlada,
นาราภัทร,f,nA-1 rA-1 Pat4,naraphat,narapat,
นารี,f,nA-1 rI-1,nari,naree,
นาวาวี,m,nA-1 wA-1 wI-1,nawawi,nawawee,navavee
นาวี,m,nA-1 wI-1,nawi,navee,nawee
นาเดีย,f,nA-1 dJ-1,nadia,,
นำพล,m,nam1 Pon1,namphon,numpon,namphol
นำโชค,m,nam1 COk3,namchok,numchok,
นิกร,m,ni-4 kXn1,nikon,nikorn,
นิกูล,m,ni-4 kUn1,nikun,nikul,nikool
นิคม,m,ni-4 Kom1,nikhom,nikom,
นิจวรรณ,f,ni-4 ca-1 wan1,nichawan,nijawan,
นิจวรรณ,f,nit4 ca-1 wan1,nitchawan,nidchawan,
นิชดา,f,ni-4 Ca-1 dA-1,nichada,,
นิชธาวัลย์,f,nit4 TA-1 wan1,nitthawan,nittawan,nidtawan
นิชาภา,f,ni?4 CA-1 PA-1,nichapha,nichapa,nishapa
นิดา,f,ni-4 dA-1,nida,,
นิตติญา,f,nit4 ti-1 jA-1,nittiya,nidtiya,
นิตติยา,f,nit4 ti-1 jA-1,nittiya,nidtiya,
นิติ,m,ni-4 ti?2,niti,,
นิติกร,m,ni-4 ti-1 kXn1,nitikon,nitikorn,
นิติกาญจน์,f,ni-4 ti-1 kAn1,nitikan,nitikarn,
นิติธร,m,ni-4 ti-1 TXn1,nitithon,nititorn,nitithorn
นิติพงษ์,m,ni-4 ti-1 PoN1,nitiphon,nitipong,nitiphong
นิติมา,f,ni-4 ti-1 mA-1,nitima,,
นิติยา,f,ni-4 ti-1 jA-1,nitiya,,
นิติศักดิ์,m,ni-4 ti-1 sak2,nitisak,nitisuk,
นิทรา,f,ni-4 TrA-1,nithra,nitra,
นิธิกร,m,ni-4 Ti-4 kXn1,nithikon,nithikorn,nithigorn
นิธิวดี,f,ni-4 Ti-4 wa-4 dI-1,nithiwadi,nithiwadee,
นิธิศ,m,ni-4 Tit4,nithit,nitit,
นิพนธ์,m,ni-4 Pon1,niphon,nipon,
นิพัฒน์,m,ni-4 Pat4,niphat,nipat,
นิพัทธ์,m,ni-4 Pat4,niphat,nipat,
นิพาดา,f,ni-4 PA-1 dA-1,niphada,nipada,
นิพาพร,f,ni-4 PA-1 PXn1,niphaphon,nipaporn,niphaporn
นิพาภรณ์,f,ni-4 PA-1 PXn1,niphaphon,nipaporn,niphaporn
นิพิฐพนธ์,m,ni-4 Pit4 Pon1,niphitphon,nipitpon,nipitphon
นิภากร,f,ni-4 PA-1 kXn1,niphakon,niphakorn,nipakorn
นิภาดา,f,ni-4 PA-1 dA-1,niphada,nipada,
นิภาธร,f,ni-4 PA-1 TXn1,niphathon,nipatorn,niphatorn
นิภาพร,f,ni-4 PA-1 PXn1,niphaphon,nipaporn,niphaporn
นิภาภรณ์,f,ni-4 PA-1 PXn1,niphaphon,nipaporn,niphaporn
นิภาวรรณ์,f,ni-4 PA-1 wan1,niphawan,nipawan,
นิมะ,m,ni-4 ma?4,nima,,
นิมิต,m,ni-4 mit4,nimit,,
นิยะดา,f,ni-4 ja-4 dA-1,niyada,,
นิรชา,f,ni-4 ra-4 CA-1,niracha,,
นิรมล,f,ni-4 ra-4 mon1,niramon,niramol,
นิรัญ,m,ni-4 ran1,niran,nirun,
นิรันดร์,m,ni-4 ran1,niran,nirun,
นิรันด์,m,ni-4 ran1,niran,nirun,
นิรันทร์,m,ni-4 ran1,niran,nirun,
นิรุจ,m,ni-4 rut4,nirut,nirud,niruj
นิรุช,m,ni-4 rut4,nirut,nirud,niruch
นิรุต,m,ni-4 rut4,nirut,nirud,
นิรุตติ,m,ni-4 rut4,nirut,nirud,
นิรุตต์,m,ni-4 rut4,nirut,nirud,
นิรุตน์,m,ni-4 rut4,nirut,nirud,
นิรุทธิ์,m,ni-4 rut4,nirut,nirud,
นิรุทธ์,m,ni-4 rut4,nirut,nirud,
นิลยา,f,ni-4 la-4 jA-1,nilaya,,
นิลยา,f,nin1 la-1 jA-1,ninlaya,,
นิลวรรณ,f,ni-4 la-4 wan1,nilawan,,
นิลวรรณ,f,nin1 la-1 wan1,ninlawan,,
นิลเนตร,f,nin1 nEt3,ninnet,ninnate,
นิลเนตร,f,nin1 la-1 nEt3,ninlanet,ninlanate,nillanet
นิลเนตร,f,ni-4 la-4 nEt3,nilanet,nilanate,
นิวัช,m,ni-4 wat4,niwat,niwaj,niwach
นิวัฒ,m,ni-4 wat4,niwat,niwad,
นิวัต,m,ni-4 wat4,niwat,niwad,
นิวัตร์,m,ni-4 wat4,niwat,niwad,
นิวัติ,m,ni-4 wat4,niwat,niwad,
นิศา,f,ni-4 sA-5,nisa,,
นิศากร,f,ni-4 sA-5 kXn1,nisakon,nisakorn,
นิษา,f,ni-4 sA-5,nisa,,
นิสรา,f,ni-4 sa-1 rA-1,nisara,,
นิสรีน,f,ni-4 sa-1 rIn1,nisarin,nisareen,
นิสา,f,ni-4 sA-5,nisa,,
นิสากร,f,ni-4 sA-5 kXn1,nisakon,nisakorn,
นิสิต,m,ni-4 sit3,nisit,,
นิสิตา,f,ni-4 si-1 tA-1,nisita,,
นิอร,f,ni-4 ?Xn1,nion,niorn,
นิเวศ,m,ni-4 wEt3,niwet,niwes,niwed
นิโรจน์,m,ni-4 rOt3,nirot,niroj,
นิโลบล,f,ni-4 lO-1 bon1,nilobon,nilobol,
นีรชา,f,nI-1 ra-1 CA-1,niracha,neeracha,neerasha
นุจรินทร์,f,nu-4 ca-1 rin1,nucharin,nujarin,
นุจรี,f,nu-4 ca-1 rI-1,nuchari,nujari,nujaree
นุชจรี,f,nut4 ca-1 rI-1,nutchari,nuchcharee,nuchjaree
นุชจรีย์,f,nut4 ca-1 rI-1,nutchari,nuchcharee,nuchjaree
นุชดา,f,nut4 Ca-1 dA-1,nutchada,nuchchada,nudchada
นุชนภา,f,nut4 na-4 PA-1,nutnapha,nuchnapha,nuchnapa
นุชนาฎ,f,nut4 Ca-1 nAt3,nutchanat,nutchanart,nuchchanart
นุชนาฏ,f,nut4 Ca-1 nAt3,nutchanat,nutchanart,nuchchanart
นุชนารถ,f,nut4 Ca-1 nAt3,nutchanat,nutchanart,nuchchanart
นุชลี,f,nu-4 Ca-1 lI-1,nutchali,nuchchalee,nutchalee
นุชศรา,f,nut4 sa-1 rA-1,nutsara,nuchsara,
นุชิต,m,nu-4 Cit4,nuchit,nuchid,nushit
นุศรา,f,nu-4 sa-1 rA-1,nusara,,
นุสรา,f,nu-4 sa-1 rA-1,nusara,,
นูรมา,f,nU-1 ra-1 mA-1,nurama,noorama,
นูรอัยนี,f,nU-1 ra-1 ?aj1 ja-1 nI-1,nuraaiyani,nuraaiyanee,nooraaiyanee
นูรฮายาตี,f,nU-1 ra-1 hA-1 jA-1 dI-1,nurahayati,nurahayatee,noorahayatee
นูรฮูดา,f,nU-1 ra-1 hU-1 dA-1,nurahuda,noorahooda,
นูรียะ,f,nU-1 rI-1 ja?4,nuriya,nureeya,nooreeya
นูรียะห์,f,nU-1 rI-1 ja?4,nuriya,nureeya,nureeyah
นูรียา,f,nU-1 rI-1 jA-1,nuriya,nureeya,nooreeya
นูรีย๊ะ,f,nU-1 rI-1 ja?4,nuriya,nureeya,nooreeya
นูรีฮัน,f,nU-1 rI-1 han1,nurihan,nooreehan,nureehan
นเรศ,m,na-1 rEt3,naret,nares,
นเรศน์,m,na-1 rEt3,naret,nares,
นเรศร์,m,na-1 rEt3,naret,nares,
น้องนุช,f,nXN4 nut4,nongnut,nongnuch,
น้ำทิพย์,f,nAm4 Tip4,namthip,namtip,
น้ำผึ้ง,f,nAm4 PvN3,namphuen,namphueng,
น้ำเพชร,f,nAm4 Pet4,namphet,nampetch,namphetch
น้ำเพ็ชร,f,nAm4 Pet4,namphet,nampetch,namphetch
บงกช,f,boN1 kot2,bongkot,bongkoch,bongkod
บงกชธร,f,boN1 kot2 Ca-1 TXn1,bongkotchathon,bongkotchathorn,bongkotchatorn
บงกชรัตน์,f,boN1 kot2 Ca-1 rat4,bongkotcharat,bongkotcharut,bongkotcharad
บดินทร์,m,bX-1 din1,bodin,,
บรรจบ,m,ban1 cop2,banchop,banjob,bunjob
บรรชา,m,ban1 CA-1,bancha,buncha,
บรรดาศักดิ์,m,ban1 dA-1 sak2,bandasak,bundasuk,
บรรดิษฐ,m,ban1 dit2,bandit,bundit,
บรรพต,m,ban1 Pot4,banphot,bunpot,bunphot
บรรยง,m,ban1 joN1,banyong,bunyong,
บรรยงค์,m,ban1 joN1,banyong,bunyong,
บรรลือ,m,ban1 lV-1,banlue,bunlue,
บรรหาร,m,ban1 hAn5,banhan,bunhan,
บรรเลง,m,ban1 lEN1,banleng,bunleng,
บริบูรณ์,m,bX-1 ri-1 bUn1,boribun,boriboon,
บริรักษ์,m,bX-1 ri-1 rak4,borirak,boriruk,
บวรศักดิ์,m,ba-1 wXn1 sak2,bawonsak,bawornsak,bawonsuk
บัญชา,m,ban1 CA-1,bancha,buncha,
บัญฑิต,m,ban1 dit2,bandit,bundit,bundid
บัณฑิตา,f,ban1 Ti-4 tA-1,banthita,buntita,bantita
บัณฑูร,m,ban1 TUn1,banthun,bunthun,banthoon
บันเทิง,m,ban1 TZN1,banthoeng,buntoeng,banterng
บัลลังก์,m,ban1 laN1,banlang,bunlang,
บัวตอง,f,bW-1 tXN1,buatong,,
บัวทิพย์,f,bW-1 Tip4,buathip,buatip,
บัวบาน,f,bW-1 bAn1,buaban,buabarn,
บัวผิน,f,bW-1 Pin5,buaphin,buapin,
บัวลอย,f,bW-1 lXj1,bualoi,bualoy,
บัวสอน,f,bW-1 sXn5,buason,buasorn,
บัวเขียว,f,bW-1 KJw5,buakhiao,buakiaw,buakhiaw
บัวแก้ว,f,bW-1 kYw3,buakaeo,buakaew,
บานชื่น,f,bAn1 CVn3,banchuen,barnchuen,
บานเย็น,f,bAn1 jen1,banyen,barnyen,
บารมี,m,bA-1 ra-1 mI-1,barami,baramee,
บือราเฮง,m,bV-1 rA-1 heN1,bueraheng,,
บุญจิรา,f,bun1 ci-1 rA-1,bunchira,boonjira,bunjira
บุญญฤทธิ์,m,bun1 ja-1 rit4,bunyarit,boonyarit,boonyarid
บุญญาพร,f,bun1 jA-1 PXn1,bunyaphon,bunyaporn,bunyaphorn
บุญฑริกา,f,bun1 Ta-1 ri-4 kA-1,buntharika,buntarika,boontarika
บุญทิวา,f,bun1 Ti-4 wA-1,bunthiwa,buntiwa,boonthiwa
บุญประเสริฐ,m,bun1 Pra-1 sZt2,bunprasoet,bunprasert,boonprasert
บุญศักดิ์,m,bun1 sak2,bunsak,boonsak,
บุญสิตา,f,bun1 si-2 tA-1,bunsita,boonsita,
บุญเกียรติ,m,bun1 kJt2,bunkiat,boonkiat,
บุญเชิด,m,bun1 CZt3,bunchoet,boonchoet,
บุญเตือน,f,bun1 tWn1,buntuean,boontuean,
บุญเรือน,f,bun1 rWn1,bunruean,boonruean,
บุญโชค,m,bun1 COk3,bunchok,boonchok,
บุญโชติ,m,bun1 COt3,bunchot,boonchot,boonchote
บุณฑริกา,f,bun1 Ta-1 ri-4 kA-1,buntharika,buntarika,boontharika
บุณณดา,f,bun1 na-1 dA-1,bunnada,boonnada,
บุณยานุช,f,bun1 jA-1 nut4,bunyanut,bunyanuch,boonyanuch
บุตรี,f,bu-2 trI-1,butri,,
บุปผา,f,bup2 PA-5,buppha,buppa,
บุผา,f,bu-2 PA-5,bupha,bupa,
บุรินทร์,m,bu-2 rin1,burin,,
บุศยา,f,but2 sa-1 jA-1,butsaya,budsaya,
บุศรา,f,but2 sa-1 rA-1,butsara,budsara,
บุศราภรณ์,f,but2 sa-1 rA-1 PXn1,butsaraphon,butsaraporn,budsaraphorn
บุศรินทร์,f,but2 sa-1 rin1,butsarin,budsarin,
บุษกร,f,but2 sa-1 kXn1,butsakon,butsakorn,
บุษบง,f,but2 sa-1 boN1,butsabong,budsabong,
บุษยา,f,but2 sa-1 jA-1,butsaya,budsaya,
บูคอรี,m,bU-1 KX-1 rI-1,bukhori,bukori,bukoree
